SampleID;Index;OlinkID;UniProt;Assay;MissingFreq;Panel;Panel_Lot_Nr;PlateID;QC_Warning;LOD;NPX;Normalization;Assay_Warning
CONTROL_SAMPLE_P1_A12;12;OID20061;Q16619;CTF1;0;Cardiometabolic;B04405;P1;PASS;-5.3072;-4.4398;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20062;P17516;AKR1C4;0.3523;Cardiometabolic;B04405;P1;PASS;-4.367;-3.9954;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20063;Q9NRV9;HEBP1;1;Cardiometabolic;B04405;P1;PASS;-3.5653;-5.3606;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20064;P36952;SERPINB5;0.3523;Cardiometabolic;B04405;P1;PASS;-5.4515;-6.1583;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20065;P52789;HK2;0.0455;Cardiometabolic;B04405;P1;PASS;-5.0095;-3.5541;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20066;P34947;GRK5;0.3977;Cardiometabolic;B04405;P1;PASS;-2.9368;-2.6516;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20067;Q96N03;VSTM2L;0;Cardiometabolic;B04405;P1;PASS;-3.924;-2.8433;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20068;P31483;TIA1;0.5795;Cardiometabolic;B04405;P1;PASS;-2.6416;-3.4295;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20069;Q9Y2B0;CNPY2;0;Cardiometabolic;B04405;P1;WARN;-3.8125;-3.1337;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20070;O43186;CRX;0.0227;Cardiometabolic;B04405;P1;PASS;-3.5623;-2.6744;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20071;O95183;VAMP5;0.5;Cardiometabolic;B04405;P1;PASS;-1.991;-1.7677;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20072;Q6UWL2;SUSD1;0;Cardiometabolic;B04405;P1;PASS;-3.9739;-2.1524;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20073;Q9UKL0;RCOR1;0.4886;Cardiometabolic;B04405;P1;PASS;-1.9015;-1.6513;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20074;P01375;TNF;0;Cardiometabolic;B04405;P1;PASS;-2.9388;-1.6776;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20075;P35218;CA5A;0;Cardiometabolic;B04405;P1;PASS;-5.4008;-0.8389;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20076;P51161;FABP6;0;Cardiometabolic;B04405;P1;WARN;-3.2313;-1.8416;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20077;Q15831;STK11;0;Cardiometabolic;B04405;P1;PASS;-4.9474;-2.9112;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20078;O60635;TSPAN1;0.0114;Cardiometabolic;B04405;P1;PASS;-1.6372;-0.8647;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20079;P62736;ACTA2;0.0455;Cardiometabolic;B04405;P1;PASS;-1.644;-0.7362;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20080;P58546;MTPN;0.2841;Cardiometabolic;B04405;P1;PASS;-2.4136;-1.2619;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20081;O43854;EDIL3;0;Cardiometabolic;B04405;P1;PASS;-4.6786;-2.3674;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20082;Q13105;ZBTB17;0;Cardiometabolic;B04405;P1;PASS;-3.2901;-1.624;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20083;P21246;PTN;0.0909;Cardiometabolic;B04405;P1;PASS;-4.2387;-3.5616;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20084;O95684;CEP43;0.2386;Cardiometabolic;B04405;P1;PASS;-5.2395;-5.066;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20085;Q12912;IRAG2;0;Cardiometabolic;B04405;P1;PASS;-5.5269;-4.1951;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20086;P21964;COMT;0;Cardiometabolic;B04405;P1;PASS;-4.6557;-1.6461;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20087;P09237;MMP7;0;Cardiometabolic;B04405;P1;WARN;-1.1236;4.0109;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20088;Q15165;PON2;0;Cardiometabolic;B04405;P1;PASS;-2.9413;-1.5935;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20089;Q8TE57;ADAMTS16;0;Cardiometabolic;B04405;P1;PASS;-3.2855;-2.0507;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20090;P55259;GP2;0;Cardiometabolic;B04405;P1;PASS;-5.7076;-1.0857;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20091;Q92558;WASF1;0.4091;Cardiometabolic;B04405;P1;PASS;-3.3056;-2.7632;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20092;Q99549;MPHOSPH8;0.5455;Cardiometabolic;B04405;P1;PASS;-4.4281;-4.1694;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20093;Q8NHS0;DNAJB8;0.4545;Cardiometabolic;B04405;P1;PASS;-2.048;-1.7432;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20094;Q9H5Y7;SLITRK6;0;Cardiometabolic;B04405;P1;PASS;-5.4744;-2.3448;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20095;O15354;GPR37;0;Cardiometabolic;B04405;P1;PASS;-7.3002;-3.1623;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20096;P20718;GZMH;0;Cardiometabolic;B04405;P1;PASS;-5.3271;-0.9501;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20097;P13807;GYS1;0;Cardiometabolic;B04405;P1;PASS;-4.9897;-2.5929;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20098;P40225;THPO;0;Cardiometabolic;B04405;P1;PASS;-5.5142;-1.0268;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20099;Q8NC01;CLEC1A;0;Cardiometabolic;B04405;P1;PASS;-3.7987;-1.862;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20100;O75354;ENTPD6;0;Cardiometabolic;B04405;P1;PASS;-2.018;-1.0256;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20101;P05231;IL6;0;Cardiometabolic;B04405;P1;PASS;-6.8458;-2.8676;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20102;P31997;CEACAM8;0;Cardiometabolic;B04405;P1;PASS;-6.3897;-1.6986;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20103;P25815;S100P;0;Cardiometabolic;B04405;P1;PASS;-2.6469;-1.2431;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20104;O75356;ENTPD5;0;Cardiometabolic;B04405;P1;PASS;-3.3307;-0.3726;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20105;Q9BYF1;ACE2;0;Cardiometabolic;B04405;P1;PASS;-2.8796;-0.523;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20106;P07585;DCN;0;Cardiometabolic;B04405;P1;PASS;-3.5353;0.1739;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20107;Q04760;GLO1;0;Cardiometabolic;B04405;P1;PASS;-6.0165;1.127;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20108;Q9NWQ8;PAG1;0;Cardiometabolic;B04405;P1;PASS;-6.2011;-2.0986;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20109;Q13444;ADAM15;0;Cardiometabolic;B04405;P1;PASS;-7.1308;-0.7902;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20110;P40818;USP8;0;Cardiometabolic;B04405;P1;PASS;-5.9219;-1.2991;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20111;P22004;BMP6;0;Cardiometabolic;B04405;P1;PASS;-5.9648;-1.6779;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20112;Q9UKP3;ITGB1BP2;0;Cardiometabolic;B04405;P1;PASS;-5.9608;-4.3397;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20113;P09668;CTSH;0;Cardiometabolic;B04405;P1;PASS;-7.5701;-2.2042;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20114;P46379;BAG6;0;Cardiometabolic;B04405;P1;PASS;-6.2255;-1.8234;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20115;O14793;MSTN;0;Cardiometabolic;B04405;P1;PASS;-5.383;-2.3921;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20116;Q9BWV1;BOC;0;Cardiometabolic;B04405;P1;PASS;-5.0755;0.7161;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20117;P08319;ADH4;0;Cardiometabolic;B04405;P1;PASS;-2.7348;1.3866;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20118;P09496;CLTA;0;Cardiometabolic;B04405;P1;PASS;-3.4849;-3.1721;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20119;P34913;EPHX2;0.0114;Cardiometabolic;B04405;P1;PASS;-3.2888;-2.9288;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20120;Q96A56;TP53INP1;0.1136;Cardiometabolic;B04405;P1;PASS;-0.951;0.0704;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20121;Q9Y4X3;CCL27;0;Cardiometabolic;B04405;P1;PASS;-8.7587;-3.4724;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20122;P00568;AK1;0.0568;Cardiometabolic;B04405;P1;PASS;-4.3594;-3.0771;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20123;P09525;ANXA4;0;Cardiometabolic;B04405;P1;WARN;-3.483;-1.8114;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20124;Q15067;ACOX1;0.7955;Cardiometabolic;B04405;P1;PASS;-4.7364;-4.651;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20125;NTproBNP;NTproBNP;0;Cardiometabolic;B04405;P1;PASS;-6.9106;-2.4578;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20126;Q05315;CLC;0;Cardiometabolic;B04405;P1;PASS;-4.0066;0.1753;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20127;Q6PJW8;CNST;0.5568;Cardiometabolic;B04405;P1;PASS;-2.9096;-2.9025;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20128;P48357;LEPR;0;Cardiometabolic;B04405;P1;PASS;-2.8822;-0.6631;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20129;P01222;TSHB;0;Cardiometabolic;B04405;P1;PASS;-6.3362;-1.1713;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20130;P31949;S100A11;0;Cardiometabolic;B04405;P1;PASS;-3.1702;0.83;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20131;Q9H7M9;VSIR;0;Cardiometabolic;B04405;P1;PASS;-4.2911;-1.4751;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20132;O14917;PCDH17;0;Cardiometabolic;B04405;P1;PASS;-4.8452;-1.4349;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20133;P16234;PDGFRA;0;Cardiometabolic;B04405;P1;PASS;-4.7187;-2.2329;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20134;Q12864;CDH17;0;Cardiometabolic;B04405;P1;PASS;-3.5057;0.016;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20135;Q9Y5X1;SNX9;0;Cardiometabolic;B04405;P1;PASS;-3.4051;-1.1397;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20136;Q16620;NTRK2;0;Cardiometabolic;B04405;P1;PASS;-3.6751;-2.489;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20137;Q03154;ACY1;0;Cardiometabolic;B04405;P1;PASS;-3.3423;0.8287;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20138;O60496;DOK2;0;Cardiometabolic;B04405;P1;PASS;-4.8172;-3.7537;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20139;P21549;AGXT;0;Cardiometabolic;B04405;P1;PASS;-2.6978;-1.2043;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20140;Q13043;STK4;0.2841;Cardiometabolic;B04405;P1;PASS;-2.731;-1.9993;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20141;P21980;TGM2;0;Cardiometabolic;B04405;P1;PASS;-4.9244;-2.2615;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20142;Q9UHL4;DPP7;0;Cardiometabolic;B04405;P1;PASS;-5.5182;-2.2383;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20143;O60664;PLIN3;0;Cardiometabolic;B04405;P1;PASS;-4.2775;-1.7206;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20144;O94903;PLPBP;0;Cardiometabolic;B04405;P1;PASS;-3.273;-1.2643;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20145;Q9UMF0;ICAM5;0;Cardiometabolic;B04405;P1;PASS;-6.1425;-1.6669;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20146;P10644;PRKAR1A;0;Cardiometabolic;B04405;P1;PASS;-6.7713;-2.4834;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20147;P40189;IL6ST;0;Cardiometabolic;B04405;P1;PASS;-5.9096;-0.7684;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20148;Q9H773;DCTPP1;0;Cardiometabolic;B04405;P1;PASS;-5.9813;-0.8103;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20149;Q6GTS8;PM20D1;0;Cardiometabolic;B04405;P1;PASS;-4.6177;0.5239;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20150;Q53H82;LACTB2;0;Cardiometabolic;B04405;P1;PASS;-3.8212;-2.0795;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20151;Q13158;FADD;0;Cardiometabolic;B04405;P1;WARN;-4.8742;-3.2154;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20152;Q99674;CGREF1;0;Cardiometabolic;B04405;P1;PASS;-6.2293;-0.9374;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20153;P10145;CXCL8;0;Cardiometabolic;B04405;P1;PASS;-5.7744;-2.186;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20154;P09382;LGALS1;0;Cardiometabolic;B04405;P1;PASS;-5.3562;-1.0139;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20155;Q8WX77;IGFBPL1;0;Cardiometabolic;B04405;P1;PASS;-4.7499;-1.6072;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20156;P41218;MNDA;0;Cardiometabolic;B04405;P1;PASS;-3.7486;0.4546;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20157;P55285;CDH6;0;Cardiometabolic;B04405;P1;PASS;-4.906;-2.4512;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20158;Q9UHD0;IL19;0;Cardiometabolic;B04405;P1;PASS;-5.1515;-0.8434;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20159;P16112;ACAN;0;Cardiometabolic;B04405;P1;PASS;-4.6551;-0.234;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20160;Q9ULL4;PLXNB3;0;Cardiometabolic;B04405;P1;PASS;-3.9498;-1.2707;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20161;Q06418;TYRO3;0;Cardiometabolic;B04405;P1;PASS;-6.2776;-0.9004;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20162;Q13541;EIF4EBP1;0;Cardiometabolic;B04405;P1;PASS;-5.0103;-1.9832;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20163;O75340;PDCD6;0;Cardiometabolic;B04405;P1;PASS;-4.1471;0.1515;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20164;P51693;APLP1;0;Cardiometabolic;B04405;P1;PASS;-5.1492;-2.14;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20165;Q9NY25;CLEC5A;0;Cardiometabolic;B04405;P1;PASS;-5.9273;-1.5238;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20166;P08263;GSTA1;0;Cardiometabolic;B04405;P1;PASS;-4.709;1.0125;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20167;Q969P0;IGSF8;0;Cardiometabolic;B04405;P1;PASS;-5.3541;-0.8728;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20168;Q16820;MEP1B;0;Cardiometabolic;B04405;P1;PASS;-3.4856;-0.0443;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20169;P18827;SDC1;0;Cardiometabolic;B04405;P1;PASS;-5.4564;-1.8984;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20170;P19022;CDH2;0;Cardiometabolic;B04405;P1;PASS;-5.2693;-0.8838;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20171;Q8NI22;MCFD2;0;Cardiometabolic;B04405;P1;PASS;-5.838;-1.9942;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20172;Q96LA6;FCRL1;0;Cardiometabolic;B04405;P1;PASS;-6.3954;0.7318;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20173;Q14956;GPNMB;0;Cardiometabolic;B04405;P1;WARN;-6.1344;-0.1284;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20174;P09417;QDPR;0;Cardiometabolic;B04405;P1;PASS;-5.4166;0.3036;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20175;Q9UBU3;GHRL;0;Cardiometabolic;B04405;P1;WARN;-5.9474;-1.4367;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20176;P41236;PPP1R2;0;Cardiometabolic;B04405;P1;PASS;-4.0255;-2.4276;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20177;Q9Y5K6;CD2AP;0;Cardiometabolic;B04405;P1;PASS;-5.8995;-2.8991;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20178;O95544;NADK;0;Cardiometabolic;B04405;P1;PASS;-4.3495;-0.3;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20179;P27352;CBLIF;0;Cardiometabolic;B04405;P1;PASS;-4.8233;1.0392;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20180;Q9GZM7;TINAGL1;0;Cardiometabolic;B04405;P1;PASS;-6.3115;-2.0544;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20181;Q8WVQ1;CANT1;0;Cardiometabolic;B04405;P1;PASS;-4.3844;0.9333;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20182;Q8WTU2;SSC4D;0;Cardiometabolic;B04405;P1;PASS;-5.2866;1.5591;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20183;P78380;OLR1;0;Cardiometabolic;B04405;P1;PASS;-5.7615;-1.0106;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20184;Q9NR28;DIABLO;0.0114;Cardiometabolic;B04405;P1;PASS;-6.019;-4.2295;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20185;Q86VZ4;LRP11;0;Cardiometabolic;B04405;P1;PASS;-5.3937;0.3275;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20186;Q13275;SEMA3F;0;Cardiometabolic;B04405;P1;PASS;-4.6756;0.3193;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20187;P41159;LEP;0;Cardiometabolic;B04405;P1;PASS;-5.9006;-1.0361;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20188;P06858;LPL;0;Cardiometabolic;B04405;P1;PASS;-6.2209;-0.6753;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20189;Q8IZP9;ADGRG2;0;Cardiometabolic;B04405;P1;PASS;-5.4133;-0.5517;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20190;Q9Y286;SIGLEC7;0;Cardiometabolic;B04405;P1;PASS;-6.667;-0.6859;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20191;O95502;NPTXR;0;Cardiometabolic;B04405;P1;PASS;-5.8857;-0.8482;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20192;O75791;GRAP2;0;Cardiometabolic;B04405;P1;PASS;-4.3092;-3.3069;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20193;Q9HBB8;CDHR5;0;Cardiometabolic;B04405;P1;PASS;-5.9812;0.481;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20194;P52888;THOP1;0;Cardiometabolic;B04405;P1;WARN;-4.563;1.0478;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20195;P35754;GLRX;0;Cardiometabolic;B04405;P1;PASS;-5.1511;-1.4663;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20196;P21583;KITLG;0;Cardiometabolic;B04405;P1;PASS;-5.0552;0.828;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20197;Q9UKJ0;PILRB;0;Cardiometabolic;B04405;P1;PASS;-4.2963;0.8622;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20198;Q15846;CLUL1;0;Cardiometabolic;B04405;P1;PASS;-3.9419;-0.0941;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20199;P23526;AHCY;0;Cardiometabolic;B04405;P1;PASS;-5.5424;-4.2452;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20200;P12104;FABP2;0;Cardiometabolic;B04405;P1;PASS;-5.5387;0.4473;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20201;P00797;REN;0;Cardiometabolic;B04405;P1;PASS;-5.2919;0.0022;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20202;Q9UK05;GDF2;0;Cardiometabolic;B04405;P1;WARN;-5.8029;0.5373;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20203;P12724;RNASE3;0;Cardiometabolic;B04405;P1;PASS;-4.6059;-2.0404;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20204;Q9BQB4;SOST;0;Cardiometabolic;B04405;P1;PASS;-7.2358;0.2352;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20205;Q9NQX5;NPDC1;0;Cardiometabolic;B04405;P1;PASS;-5.2439;-0.2321;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20206;Q07108;CD69;0;Cardiometabolic;B04405;P1;PASS;-6.1742;-0.2115;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20207;P42830;CXCL5;0;Cardiometabolic;B04405;P1;PASS;-6.4395;-2.1922;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20208;P02462;COL4A1;0;Cardiometabolic;B04405;P1;PASS;-5.7744;0.9697;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20209;A6NI73;LILRA5;0;Cardiometabolic;B04405;P1;PASS;-6.11;-0.0729;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20210;Q9UEW3;MARCO;0;Cardiometabolic;B04405;P1;PASS;-4.3957;1.1604;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20211;O95841;ANGPTL1;0;Cardiometabolic;B04405;P1;PASS;-3.3582;-0.4067;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20212;Q9BQR3;PRSS27;0;Cardiometabolic;B04405;P1;PASS;-6.4517;-0.7553;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20213;Q99523;SORT1;0;Cardiometabolic;B04405;P1;PASS;-7.7844;-0.8534;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20214;P35247;SFTPD;0;Cardiometabolic;B04405;P1;PASS;-6.4209;-0.5889;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20215;P20711;DDC;0;Cardiometabolic;B04405;P1;PASS;-8.3991;-0.4952;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20216;P31431;SDC4;0;Cardiometabolic;B04405;P1;PASS;-4.7515;-0.0354;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20217;P09601;HMOX1;0;Cardiometabolic;B04405;P1;PASS;-7.5168;0.8001;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20218;O00161;SNAP23;0;Cardiometabolic;B04405;P1;PASS;-8.5502;-2.6072;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20219;Q8IW75;SERPINA12;0;Cardiometabolic;B04405;P1;PASS;-3.7846;2.4703;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20220;P01241;GH1;0;Cardiometabolic;B04405;P1;PASS;-3.9881;0.1244;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20221;Q9BUD6;SPON2;0;Cardiometabolic;B04405;P1;WARN;-6.2738;1.3159;Plate control;PASS
CONTROL_SAMPLE_P1_A12;12;OID20222;Q92692;NECTIN2;0;Cardiometabolic;B04405;P1;PASS;-7.1271;0.7134;Plate control;PASS
